abaka	abaki	FEM
abakus	abakusu	MASC;INAN
abecadło	abecadła	NEUT
abiogeneza	abiogenezy	FEM
abiturient	abiturienta	MASC;HUM
ablatyw	ablatywu	MASC;INAN
abnegat	abnegata	MASC;HUM
abonament	abonamentu	MASC;INAN
abonent	abonenta	MASC;HUM
absolwent	absolwenta	MASC;HUM
absolwentka	absolwentki	FEM
abstynent	abstynenta	MASC;HUM
absurd	absurdu	MASC;INAN
absynt	absyntu	MASC;INAN
aceton	acetonu	MASC;INAN
adapter	adaptera	MASC;INAN
adept	adepta	MASC;HUM
adiutant	adiutanta	MASC;HUM
administrator	administratora	MASC;HUM
administratorka	administratorki	FEM
adrenalina	adrenaliny	FEM
adres	adresu	MASC;INAN
adresat	adresata	MASC;HUM
adresatka	adresatki	FEM
adwent	adwentu	MASC;INAN
adwersarz	adwersarza	MASC;HUM
adwokatka	adwokatki	FEM
aerostat	aerostatu	MASC;INAN
afera	afery	FEM
afganka	afganki	FEM
afgańczyk	afgańczyka	MASC;HUM
afiks	afiksu	MASC;INAN
aforyzm	aforyzmu	MASC;INAN
afrodyzjak	afrodyzjaka	MASC;INAN
afrykata	afrykaty	FEM
agat	agatu	MASC;INAN
agawa	agawy	FEM
agentura	agentury	FEM
agnostyk	agnostyka	MASC;HUM
agora	agory	FEM
agrafka	agrafki	FEM
agregat	agregatu	MASC;INAN
agresja	agresji	FEM
agresor	agresora	MASC;HUM
agrest	agrestu	MASC;INAN
akademik	akademika	MASC;HUM
akapit	akapitu	MASC;INAN
akcelerometr	akcelerometru	MASC;INAN
akcent	akcentu	MASC;INAN
akcesorium	akcesorium	NEUT
akcjonariusz	akcjonariusza	MASC;HUM
akordeon	akordeonu	MASC;INAN
akordeonista	akordeonisty	MASC;HUM
akordeonistka	akordeonistki	FEM
akrobata	akrobaty	MASC;HUM
akrobatka	akrobatki	FEM
akromegalia	akromegalii	FEM
akronim	akronimu	MASC;INAN
aksjomat	aksjomatu	MASC;INAN
akson	aksonu	MASC;INAN
akt	aktu	MASC;INAN
aktor	aktora	MASC;HUM
aktorka	aktorki	FEM
aktywista	aktywisty	MASC;HUM
aktywistka	aktywistki	FEM
akumulator	akumulatora	MASC;INAN
akupresura	akupresury	FEM
akupunktura	akupunktury	FEM
akuszerka	akuszerki	FEM
akuzatyw	akuzatywu	MASC;INAN
akwarium	akwarium	NEUT
akwedukt	akweduktu	MASC;INAN
alabaster	alabastru	MASC;INAN
alanina	alaniny	FEM
alarm	alarmu	MASC;INAN
alba	alby	FEM
albanka	albanki	FEM
albatros	albatrosa	MASC;ANIM
albańczyk	albańczyka	MASC;HUM
aldehyd	aldehydu	MASC;INAN
aleja	alei	FEM
alergen	alergenu	MASC;INAN
alergolog	alergologa	MASC;HUM
alfa	alfy	FEM
alfabet	alfabetu	MASC;INAN
alfons	alfonsa	MASC;HUM
algebra	algebry	FEM
algorytm	algorytmu	MASC;INAN
aligator	aligatora	MASC;ANIM
alkaloid	alkaloidu	MASC;INAN
alkan	alkanu	MASC;INAN
alken	alkenu	MASC;INAN
alkin	alkinu	MASC;INAN
alkoholiczka	alkoholiczki	FEM
alkoholik	alkoholika	MASC;HUM
alkomat	alkomatu	MASC;INAN
aloes	aloesu	MASC;INAN
alofon	alofonu	MASC;INAN
aloza	alozy	FEM
alpaga	alpagi	FEM
alpaka	alpaki	FEM
alrauna	alrauny	FEM
alternatywa	alternatywy	FEM
altruista	altruisty	MASC;HUM
altówka	altówki	FEM
amazonit	amazonitu	MASC;INAN
amazonka	amazonki	FEM
ambaras	ambarasu	MASC;INAN
ambasada	ambasady	FEM
ambasador	ambasadora	MASC;HUM
ambasadorka	ambasadorki	FEM
ambona	ambony	FEM
ambulans	ambulansu	MASC;INAN
ambulatorium	ambulatorium	NEUT
ameba	ameby	FEM
amerykanin	amerykanina	MASC;HUM
amerykanizm	amerykanizmu	MASC;INAN
amerykanka	amerykanki	FEM
ametyst	ametystu	MASC;INAN
amfiteatr	amfiteatru	MASC;INAN
amina	aminy	FEM
aminokwas	aminokwasu	MASC;INAN
amoniak	amoniaku	MASC;INAN
amortyzator	amortyzatora	MASC;INAN
amper	ampera	MASC;INAN
amperomierz	amperomierza	MASC;INAN
amplituda	amplitudy	FEM
amulet	amuletu	MASC;INAN
amyloid	amyloidu	MASC;INAN
anachronizm	anachronizmu	MASC;INAN
anagram	anagramu	MASC;INAN
anakonda	anakondy	FEM
analfabeta	analfabety	MASC;HUM
analiza	analizy	FEM
ananas	ananasa	MASC;INAN
anarchista	anarchisty	MASC;HUM
andorczyk	andorczyka	MASC;HUM
android	androida	MASC;ANIM
anegdota	anegdoty	FEM
aneks	aneksu	MASC;INAN
angielka	angielki	FEM
angina	anginy	FEM
anglik	anglika	MASC;HUM
anglista	anglisty	MASC;HUM
angol	angola	MASC;HUM
anilina	aniliny	FEM
animista	animisty	MASC;HUM
anion	anionu	MASC;INAN
anioł	anioła	MASC;ANIM
aniołek	aniołka	MASC;ANIM
anoda	anody	FEM
anons	anonsu	MASC;INAN
antena	anteny	FEM
antidotum	antidotum	NEUT
antonim	antonimu	MASC;INAN
antonówka	antonówki	FEM
antropolog	antropologa	MASC;HUM
antropomorfizm	antropomorfizmu	MASC;INAN
antycząstka	antycząstki	FEM
antygen	antygenu	MASC;INAN
antyk	antyku	MASC;INAN
antyklina	antykliny	FEM
antylopa	antylopy	FEM
antypapież	antypapieża	MASC;HUM
antyproton	antyprotonu	MASC;INAN
antyseptyk	antyseptyku	MASC;INAN
antyszczepionkowiec	antyszczepionkowca	MASC;HUM
antywirus	antywirusa	MASC;INAN
aorta	aorty	FEM
aparat	aparatu	MASC;INAN
apetyt	apetytu	MASC;INAN
apgrejd	apgrejdu	MASC;INAN
apostoł	apostoła	MASC;HUM
apostrof	apostrofu	MASC;INAN
apostrofa	apostrofy	FEM
apoteoza	apoteozy	FEM
apsyda	apsydy	FEM
apteka	apteki	FEM
