abakus	abakusu	MASC;INAN
abecadło	abecadła	NEUT
abiturient	abiturienta	MASC;HUM
ablatyw	ablatywu	MASC;INAN
abnegat	abnegata	MASC;HUM
abonament	abonamentu	MASC;INAN
abonent	abonenta	MASC;HUM
absolwent	absolwenta	MASC;HUM
absolwentka	absolwentki	FEM
abstynent	abstynenta	MASC;HUM
absurd	absurdu	MASC;INAN
absynt	absyntu	MASC;INAN
adapter	adaptera	MASC;INAN
adept	adepta	MASC;HUM
adiutant	adiutanta	MASC;HUM
administrator	administratora	MASC;HUM
administratorka	administratorki	FEM
adrenalina	adrenaliny	FEM
adres	adresu	MASC;INAN
adresat	adresata	MASC;HUM
adresatka	adresatki	FEM
adwent	adwentu	MASC;INAN
adwersarz	adwersarza	MASC;HUM
aerostat	aerostatu	MASC;INAN
afera	afery	FEM
afganka	afganki	FEM
afiks	afiksu	MASC;INAN
aforyzm	aforyzmu	MASC;INAN
afrodyzjak	afrodyzjaka	MASC;INAN
afrykata	afrykaty	FEM
agat	agatu	MASC;INAN
agawa	agawy	FEM
agentura	agentury	FEM
agnostyk	agnostyka	MASC;HUM
agora	agory	FEM
agrafka	agrafki	FEM
agregat	agregatu	MASC;INAN
agresja	agresji	FEM
agresor	agresora	MASC;HUM
akademik	akademika	MASC;HUM
akapit	akapitu	MASC;INAN
akcelerometr	akcelerometru	MASC;INAN
akcent	akcentu	MASC;INAN
akcjonariusz	akcjonariusza	MASC;HUM
akordeon	akordeonu	MASC;INAN
akordeonistka	akordeonistki	FEM
akrobata	akrobaty	MASC;HUM
akromegalia	akromegalii	FEM
akronim	akronimu	MASC;INAN
akt	aktu	MASC;INAN
aktor	aktora	MASC;HUM
aktywistka	aktywistki	FEM
akumulator	akumulatora	MASC;INAN
akupresura	akupresury	FEM
akupunktura	akupunktury	FEM
akuszerka	akuszerki	FEM
akuzatyw	akuzatywu	MASC;INAN
akwedukt	akweduktu	MASC;INAN
alabaster	alabastru	MASC;INAN
alanina	alaniny	FEM
alarm	alarmu	MASC;INAN
alba	alby	FEM
albanka	albanki	FEM
albatros	albatrosa	MASC;ANIM
albańczyk	albańczyka	MASC;HUM
aldehyd	aldehydu	MASC;INAN
aleja	alei	FEM
alergen	alergenu	MASC;INAN
alfa	alfy	FEM
alfabet	alfabetu	MASC;INAN
alfons	alfonsa	MASC;HUM
algorytm	algorytmu	MASC;INAN
aligator	aligatora	MASC;ANIM
alkan	alkanu	MASC;INAN
alken	alkenu	MASC;INAN
alkin	alkinu	MASC;INAN
alkoholik	alkoholika	MASC;HUM
alkomat	alkomatu	MASC;INAN
aloes	aloesu	MASC;INAN
alofon	alofonu	MASC;INAN
alpaga	alpagi	FEM
alpaka	alpaki	FEM
alrauna	alrauny	FEM
alternatywa	alternatywy	FEM
altruista	altruisty	MASC;HUM
altówka	altówki	FEM
amazonit	amazonitu	MASC;INAN
amazonka	amazonki	FEM
ambaras	ambarasu	MASC;INAN
ambasada	ambasady	FEM
ambasador	ambasadora	MASC;HUM
ambasadorka	ambasadorki	FEM
ambulans	ambulansu	MASC;INAN
ambulatorium	ambulatorium	NEUT
ameba	ameby	FEM
amerykanin	amerykanina	MASC;HUM
amerykanizm	amerykanizmu	MASC;INAN
amerykanka	amerykanki	FEM
ametyst	ametystu	MASC;INAN
amina	aminy	FEM
aminokwas	aminokwasu	MASC;INAN
amortyzator	amortyzatora	MASC;INAN
amper	ampera	MASC;INAN
amperomierz	amperomierza	MASC;INAN
amplituda	amplitudy	FEM
amulet	amuletu	MASC;INAN
anagram	anagramu	MASC;INAN
anakonda	anakondy	FEM
analfabeta	analfabety	MASC;HUM
analiza	analizy	FEM
ananas	ananasa	MASC;INAN
android	androida	MASC;ANIM
anegdota	anegdoty	FEM
aneks	aneksu	MASC;INAN
angielka	angielki	FEM
angina	anginy	FEM
anglik	anglika	MASC;HUM
anglista	anglisty	MASC;HUM
anilina	aniliny	FEM
animista	animisty	MASC;HUM
anion	anionu	MASC;INAN
anioł	anioła	MASC;ANIM
aniołek	aniołka	MASC;ANIM
anoda	anody	FEM
anons	anonsu	MASC;INAN
antena	anteny	FEM
antidotum	antidotum	NEUT
antonówka	antonówki	FEM
antycząstka	antycząstki	FEM
antygen	antygenu	MASC;INAN
antyklina	antykliny	FEM
antylopa	antylopy	FEM
antypapież	antypapieża	MASC;HUM
antyproton	antyprotonu	MASC;INAN
antyseptyk	antyseptyku	MASC;INAN
aorta	aorty	FEM
aparat	aparatu	MASC;INAN
apetyt	apetytu	MASC;INAN
apgrejd	apgrejdu	MASC;INAN
apostrof	apostrofu	MASC;INAN
apostrofa	apostrofy	FEM
apoteoza	apoteozy	FEM
apsyda	apsydy	FEM
apteka	apteki	FEM
aptekarz	aptekarza	MASC;HUM
aquapark	aquaparku	MASC;INAN
ar	ara	MASC;INAN
ara	ary	FEM
arab	araba	MASC;HUM
arabka	arabki	FEM
arabus	arabusa	MASC;HUM
aragonit	aragonitu	MASC;INAN
arbuz	arbuza	MASC;ANIM
archaizm	archaizmu	MASC;INAN
